Country,Energy Source (billion kWh),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burundi,            Hydroelectricity ,0.002,0.002,0.002,0.023,0.039,0.046,0.061,0.094,0.103,0.102,0.107,0.11,0.104,0.108,0.114,0.117,0.117,0.12,0.109,0.097,0.098,0.114,0.126,0.1,0.09,0.095,0.092,0.116,0.111,0.12,0.141,0.128,0.139,0.138,0.14,0.136,0.142,0.185,0.15,0.22,0.22,0.22
Burundi,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.008,0.008,0.008,0.008
Burundi,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.008,0.008,0.008,0.008
Burundi,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0.006,0.007,0.006,0.006,0.007,0.007,0.005788,0.005,0.005788,0.005788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,            Hydroelectricity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.009,0.008,0.007,0.007,0.006,0.006,0.007,0.009,0.009,0.009,0.009
Cabo Verde,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.009,0.008,0.007,0.007,0.006,0.006,0.007,0.009,0.009,0.009,0.009
Cabo Verde,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.002,0.016,0.063,0.076,0.083,0.079,0.077,0.068,0.08,0.074,0.064,0.064
Cabo Verde,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,            Hydroelectricity ,1.35,1.79,2.028,2.003,2.106,2.295,2.297,2.301,2.489,2.602,2.609,2.642,2.624,2.626,2.661,2.725,2.839,3.061,3.085,3.301,3.408,3.439,3.15,3.493,3.881,3.734,3.853,3.809,4.19,3.976,4.2174,4.35303,4.21344,4.32927,4.32927,4.31541,4.32927,5.0391,4.97277,5.34,5.4344,5
Cameroon,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.004,0.005,0.008,0.01,0.012,0.016,0.02,0.02,0.02,0.02
Cameroon,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.004,0.005,0.008,0.01,0.012,0.016,0.02,0.02,0.02,0.02
Cameroon,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,            Hydroelectricity ,0.066,0.065,0.068,0.064,0.069,0.06,0.076,0.073,0.074,0.074,0.076,0.075,0.077,0.077,0.079,0.08,0.081,0.083,0.081,0.081,0.083,0.082,0.082,0.083,0.124,0.133,0.139,0.136,0.136,0.135,0.134,0.146,0.149,0.137,0.168,0.168,0.169,0.15,0.15,0.15,0.15,0.15
Central African Republic,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0,0,0
Central African Republic,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0,0,0
Central African Republic,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,            Hydroelectricity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.0003,0,0,0,0
